gene_id	RSEM_88F	RSEM_89F	RSEM_103F	RSEM_9F	RSEM_89M	RSEM_103M	RSEM_9M	RSEM_88supM	RSEM_89supM
comp56638_c1	16.52	6.15	7.65	1.45	7.93	38.81	31.55	94.85	62.77
comp23464_c0	0	4.26	0.25	0	1.12	5.11	16.45	4.46	76.41
comp51271_c1	0.56	0.4	0	0	0	1.28	5.41	5.51	3.72
comp61285_c0	0	0	0.12	0.12	40.19	34.98	0	0	14.81
comp42021_c0	0	0	0	0.04	0.09	3.54	0.7	0.04	1
comp58952_c0	0	0.04	0.03	0.04	0.15	1.55	1.79	0.58	1.19
comp63934_c0	0.62	0.22	1.19	0.76	1.47	1.85	70.2	1.27	1.97
comp56502_c0	58.04	69.75	46.4	51.98	43.88	94.16	85.47	106.91	129.31
comp62937_c0	28.91	25.12	16.7	15.6	132.79	149.07	25.52	21.22	103.82
comp47896_c0	0.42	0.2	0.31	0.98	0.6	1.71	11.31	1.77	4.54
comp60052_c0	0.5	0.4	0.42	0.21	5.27	4.83	0.59	1.22	2.95
comp49292_c0	0.11	0.04	0	0.08	0.97	3.19	0.82	0.4	1.6
comp42693_c0	29.18	24.31	39.32	21	9.08	6.46	14.96	11.28	5.15
comp50572_c0	44.39	18.88	37.29	86.73	23.46	87.34	86.26	125.6	28.59
comp63822_c0	0.47	0.34	0.45	0.23	0.45	3.53	5.74	0.47	8.51
comp62403_c0	0.15	0.22	0.2	0.26	0.22	1.6	2.6	1.29	6.08
comp55020_c1	1.41	2.97	1.35	1.76	3.66	5.3	3.86	7.39	14.41
comp58164_c0	5.32	9.21	8.07	7.58	5.79	17.59	22.85	46.56	29.99
comp57039_c0	0.28	0.26	1.18	0.28	0.81	2.64	2.06	2.89	2.48
comp53897_c0	7.66	1.53	2.15	11.22	1.04	1.96	16.81	15.08	5.53
comp54709_c0	0.4	1.46	0.37	0.42	0.36	3.6	2.52	1.92	3.05
comp42477_c1	0	0.6	0.47	0.37	2.65	7.07	2.12	2.16	0.46
comp65411_c1	47.66	89.77	267.51	97.92	41.65	69.6	40.18	27.31	27.65
comp57989_c0	0.35	0.44	0.5	0.56	0.16	1.26	0.96	0.86	4.15
comp54981_c0	0.12	0.39	0.38	0.08	0.51	5.79	6.79	1.27	5.69
comp55786_c0	1.27	0.92	0.71	0.67	0.69	9.53	7.93	3.09	8.41
comp49401_c0	0.09	0.5	0	0.06	1.05	1.17	0.76	0.33	1.61
comp22726_c0	0.12	0.13	0	0	10.12	83.24	0.17	0	34.72
comp50148_c0	2.54	1.38	0.14	2.13	5.13	6.43	3.88	12.4	12.33
comp47133_c0	0.18	3.54	0.62	2.25	6.68	30.93	47.21	12.79	15.67
comp49946_c0	0	0	0	3.67	0	0	4.4	0	0
comp23405_c0	0	0.04	0	0	3.19	5.14	0	0	2.4
comp56111_c0	0.08	0.08	0	4.77	0	0.03	6.73	0.05	1.76
comp65929_c1	12.99	6.6	1.6	4.43	4.37	1.88	5.53	1.07	1.12
comp48548_c0	0.96	0.55	0.66	0.46	0.2	4.57	2.53	3.57	6.77
comp61886_c0	0	0	32.91	0	21.04	289.09	0.13	0.21	0.05
comp65651_c1	0.32	0.63	0.91	1.16	0.45	2.31	1.53	3.93	3.15
comp46655_c0	0.2	0.79	0.19	0.79	1.69	2.32	4.1	0.26	1.4
comp49838_c0	0.4	1.17	0.39	1.55	2.01	4.24	6.56	2.16	29.55
comp49561_c0	0.2	0.99	0.79	0.37	2.74	2.07	1.5	0.95	4.58
comp23553_c0	0.38	0.64	0.04	0.34	0.18	3.39	12.64	0.9	9.6
comp50771_c0	0.06	0.33	0.14	0.13	2.7	2.85	0.42	0.11	2.39
comp57866_c0	1.5	0.4	0.72	0.89	1.27	4.05	7.31	1.57	12.38
comp53449_c0	0.83	1.66	0.99	1.64	2.69	9.8	6.52	3.1	5.9
comp34538_c0	0.8	0.72	0.38	1.01	0.91	5.17	20.62	2.45	4.97
comp62529_c0	66.04	102.6	143.58	115.17	38.39	59.24	71.17	38.25	30.79
comp51940_c0	0.55	0.59	0.25	0.21	0.56	2.78	1.86	1.44	1.46
comp65042_c0	0	0	0	14.74	0	0.1	8.19	0	0.11
comp63671_c0	20.53	12.03	7.15	27.02	4.2	15.2	30.38	49.59	25.3
comp54535_c0	8.93	12.31	20.45	7.49	4.09	6.19	4.88	5.11	2.89
comp47383_c0	0	0.3	0.02	0.19	0.72	0.74	0.89	0.4	0.7
comp33928_c0	1.72	0.77	0.68	0.72	1.61	12.53	14.46	3.33	12.65
comp60156_c0	0.08	0.45	0	0.06	5.18	4.18	0.14	0.05	4.81
comp32327_c0	0.06	0.14	0	0.02	0.72	4.8	0.2	0.06	0.57
comp42544_c0	0	0.14	0.19	0.06	6.08	1.96	1.41	0.56	5.4
comp49696_c0	0.95	0.27	0.64	1.13	3.32	9.6	6	7.87	10.43
comp61920_c1	41.16	51.63	1.57	18.81	3745.65	2999.63	272.34	161.62	1861.13
comp51271_c0	1.96	0.24	0	0.11	0.47	3.76	15.7	6.87	11.4
comp50205_c0	0.06	0.18	0.09	0.11	0.08	0.45	1.21	0.92	0.72
comp42782_c0	0.28	0.17	0.06	0.03	2.89	3.39	1.18	0.06	1.58
comp43573_c1	14	14.36	29.15	10.34	5.89	7.21	4.97	6.66	5.11
comp57305_c0	0.18	0.26	0	0.16	14.05	11.04	3.88	1.75	7.39
comp56001_c0	0.32	0.12	0.2	2.01	0.11	1.9	4.64	2.2	0.27
